순번,지역,조회지역,업종,분야,상호,대표자,우편번호,본사주소,전화번호
20,서울,강남구,공사업,전문,(주)새한에이치테크,오봉진,6255,서울특별시 강남구 도곡로7길 6  (역삼동) 한은빌딩 502호,02-564-4420
21,서울,강남구,공사업,전문,두원이에프씨(주),"장병민,박중현,정성권,천호영",6240,서울특별시 강남구 테헤란로4길 45  (역삼동) ,02-3404-6600
22,서울,강남구,공사업,전문,(주)한은이엔씨,이진수,6255,서울특별시 강남구 도곡로7길 6  (역삼동) ,02-2272-3501
23,서울,강남구,공사업,전문,(주)김앤드이,"이준희,김종성",6261,서울특별시 강남구 논현로57길 30  (도곡동) ,02-3461-8771
24,서울,강남구,공사업,전문,범양공조산업(주),장종기,6162,"서울특별시 강남구 테헤란로 403 , 18층(삼성동, 테헤란로리치타워)",02-3453-7777
25,서울,강남구,공사업,전문,에쓰이씨 주식회사,이명규,6367,"서울특별시 강남구 광평로 280 , 2033호(수서동, 로즈데일)",02-574-0000
26,서울,강남구,공사업,전문,(주)유일이엔지,박남신,6168,서울특별시 강남구 테헤란로83길 11 (삼성동) 유일빌딩 3층,02-562-9941
27,서울,강남구,공사업,전문,(주)청우이엔지,"이원강,서윤선",6143,"서울특별시 강남구 봉은사로 310 , 10층(역삼동)",02-549-1881
28,서울,강남구,공사업,전문,(주)한국방재써비스,김진석,6226,"서울특별시 강남구 도곡로37길 38 ,201호(역삼동)",02-563-6341
29,서울,강남구,공사업,전문,영풍설비시스템(주),김용구,6313,서울특별시 강남구 논현로8길 10-10 (개포동) 502호,02-575-2043
30,서울,강남구,공사업,전문,(주)한기실업,박광진,6200,서울특별시 강남구 역삼로70길 8  (대치동) 한기빌딩,02-2177-8800
31,서울,강남구,공사업,전문,(주)제일에프엔이,이대호,6314,"서울특별시 강남구 논현로8길 12 ,402호(개포동,주원빌딩)",02-3463-0119
32,서울,강남구,공사업,전문,(주)삼일기업공사,박종웅,6226,서울특별시 강남구 언주로 329  (역삼동) ,02-564-3131
33,서울,강남구,공사업,전문,주식회사 디비아이엔씨(DB Inc.),"강운식,문덕식",6167,서울특별시 강남구 삼성로96길 23  7층(삼성동),02-2136-6000
34,서울,강남구,공사업,전문,(주)지안소방,김수한,6032,"서울특별시 강남구 도산대로25길 26 , 304호(신사동, 여암빌딩)",02-3448-1119
35,서울,강남구,공사업,전문,경동산업(주),한준희,6039,서울특별시 강남구 논현로149길 63 (논현동),02-515-4877
36,서울,강남구,공사업,전문,남동이앤아이(주),진경선,6143,"서울특별시 강남구 봉은사로 312 301호(역삼동,역삼동하나빌)",02-518-2293
37,서울,강남구,공사업,전문,(주)에스텍시스템,이병화,6336,서울특별시 강남구 개포로 619  (개포동) ,02-2142-8246
38,서울,강남구,공사업,전문,(주)반도건설,"이정렬,김용철",6133,"서울특별시 강남구 테헤란로7길 12 ,11층(역삼동,허바허바빌딩)",02-3011-2792
39,서울,강남구,공사업,전문,풍림산업(주),지우종,6168,서울특별시 강남구 삼성로96길 6 (삼성동),02-528-6527
40,서울,강남구,공사업,전문,오리엔트방재(주),서정민,6267,서울특별시 강남구 강남대로44길 16  (도곡동) 영신빌딩 3층,02-576-8115
41,서울,강남구,공사업,전문,미래앤테크(주),윤호경,6307,"서울특별시 강남구 개포로20길 25 , 2층(개포동, 제이에이치티개포빌딩)",02-576-1196
42,서울,강남구,공사업,전문,동화지엠(주),최은영,6339,"서울특별시 강남구 개포로 662 , 202호(일원동, 금산빌딩)",02-517-1447
43,서울,강남구,공사업,전문,(주)한미글로벌건축사사무소,"윤요현,박서영",6164,서울특별시 강남구 테헤란로87길 36 (삼성동) 9층,02-3429-6300
44,서울,강남구,공사업,전문,(주)메타이엔시,조용식,6329,"서울특별시 강남구 개포로88길 6 501호(개포동,공신빌딩)",02-445-6092
45,서울,강남구,공사업,일반(전기),영남스퀘어 주식회사,장재모,6098,서울특별시 강남구 학동로 314 (논현동),02-540-2400
46,서울,강남구,공사업,전문,대유산업(주),정병찬,6272,서울특별시 강남구 도곡로 226  (도곡동) ,02-3461-8091
47,서울,강남구,공사업,전문,(주)하나전기,김선식,6260,"서울특별시 강남구 도곡로 150 (도곡동, 대광빌딩)",02-588-4534
48,서울,강남구,공사업,전문,아이에스동서(주),"남병옥,이준길",6053,"서울특별시 강남구 학동로 231 (논현동, 백영논현센터)",02-3218-6613
49,서울,강남구,공사업,전문,(주)케이피테크,김광희,6303,"서울특별시 강남구 개포로17길 13-3 ,2층(개포동)",02-571-5967
50,서울,강남구,공사업,전문,한일건설(주),"손영호,양승권",6296,"서울특별시 강남구 남부순환로 2708  (도곡동,매산빌딩)",02-527-7041
51,서울,강남구,공사업,전문,강산건설(주),"김성현,박윤배",6253,서울특별시 강남구 도곡로1길 25 (역삼동),02-2007-9000
52,서울,강남구,공사업,전문,대방설비(주),홍대근,6116,"서울특별시 강남구 논현로 641  (논현동) 518호, 519호",02-3446-0161
53,서울,강남구,공사업,전문,세안이엔씨(주),이은상,6180,"서울특별시 강남구 테헤란로88길 17 (대치동, 세안빌딩)",02-569-3381
54,서울,강남구,공사업,전문,(주)유신방재,허근,6253,"서울특별시 강남구 강남대로62길 7 , 6층(역삼동, 혜주빌딩)",02-3463-0266
55,서울,강남구,공사업,전문,동부건설(주),윤진오,6132,"서울특별시 강남구 테헤란로 137 (역삼동, 코레이트타워)",02-3484-2078
56,서울,강남구,공사업,전문,두산건설(주),"이정환,이강홍",6057,서울특별시 강남구 언주로 726 (논현동),02-510-3847
57,서울,강남구,공사업,전문,창성건설(주),"신기섭,최영철",6112,"서울특별시 강남구 학동로 160 , 3층(논현동, 창성빌딩)",02-548-4800
58,서울,강남구,공사업,전문,(주)케이씨이앤씨,정순찬,6173,서울특별시 강남구 테헤란로103길 5 (삼성동),02-2103-3688
59,서울,강남구,공사업,전문,주식회사 신미화건설,유진선,6253,"서울특별시 강남구 도곡로1길 14 616호(역삼동,삼일프라자)",02-2217-7431
60,서울,강남구,공사업,전문,(주)천우설비,안진환,6349,서울특별시 강남구 밤고개로1길 10 현대벤쳐빌 803호(수서동),02-2226-2300
61,서울,강남구,공사업,전문,에스케이이앤에스(주),송영숙,6320,"서울특별시 강남구 개포로 303 , 현대아파트상가동 지하층 제2호(개포동)",02-558-0117
62,서울,강남구,공사업,전문,남도엔지니어링(주),백명기,6314,서울특별시 강남구 논현로8길 15 (개포동),02-2057-4245
63,서울,강남구,공사업,전문,(주)이안알앤씨,"허용,이인홍",6109,"서울특별시 강남구 언주로 601 , 10층(논현동, 파크랜드빌딩)",02-3482-5785
64,서울,강남구,공사업,전문,리드엘 주식회사,이순재,6170,"서울특별시 강남구 봉은사로 606 , 3층(삼성동, 리드빌딩)",02-6206-3000
65,서울,강남구,공사업,전문,(주)다원앤컴퍼니,"조서윤,이태일",6235,서울특별시 강남구 테헤란로16길 12 (역삼동),02-3468-5947
66,서울,강남구,공사업,전문,양지전기(주),박승연,6218,서울특별시 강남구 선릉로69길 5-8 (역삼동),02-569-4457
67,서울,강남구,공사업,전문,츠치야코리아 주식회사,"오카다요시히사,후루카와히데카즈",6167,"서울특별시 강남구 삼성로96길 19 , 5층(삼성동)",02-538-5280
68,서울,강남구,공사업,전문,(주)시티건설,김기민,6153,"서울특별시 강남구 봉은사로 418 , 3층(삼성동, 에이치에스타워)",02-555-6193
69,서울,강남구,공사업,전문,오케이엔지니어링(주),오두익,6343,서울특별시 강남구 일원로9길 26 (일원동),02-445-6062
70,서울,강남구,공사업,전문,새론환경 주식회사,이춘열,6313,"서울특별시 강남구 논현로10길 8 , 2층(개포동)",02-508-5566
71,서울,강남구,공사업,전문,(주)로열배관설비,최윤철,6223,"서울특별시 강남구 언주로81길 39 ,제비 101호(역삼동, 울프슨빌)",02-552-5641
72,서울,강남구,공사업,전문,주식회사 큐에스엔지니어링,조서구,6365,"서울특별시 강남구 헌릉로570길 32-1 , 큐에스빌딩 5층(세곡동)",02-3412-4908
73,서울,강남구,공사업,전문,(주)금강주택,최상순,6143,서울특별시 강남구 봉은사로 304 (역삼동),02-3468-7371
74,서울,강남구,공사업,전문,(주)상지건설,김영신,6052,"서울특별시 강남구 학동로31길 12 , 5층(논현동, 벤쳐캐슬빌딩)",02-3218-1116
75,서울,강남구,공사업,전문,주식회사 인트로방염,안윤호,6378,서울특별시 강남구 헌릉로645길 23 (세곡동)102호,02-572-5119
76,서울,강남구,공사업,전문,현대오토에버 주식회사,김윤구,6179,서울특별시 강남구 테헤란로 510 (대치동),02-6296-4425
77,서울,강남구,공사업,전문,주식회사 명우이엔씨,전태석,6228,"서울특별시 강남구 논현로68길 12 ,201호(역삼동)",02-558-4118
78,서울,강남구,공사업,전문,주식회사 도화엔지니어링,"박승우,곽준상,김덕구,손영일",6178,서울특별시 강남구 삼성로 438 (대치동),02-6323-3000
79,서울,강남구,공사업,전문,도요엔지니어링코리아(주),미야자키요시나리,6142,서울특별시 강남구 테헤란로37길 11 (역삼동),02-2189-1617
80,서울,강남구,공사업,전문,주식회사 도원아이디,배한권,6151,"서울특별시 강남구 테헤란로 309 , 1층 1호(역삼동, 삼성제일빌딩)",02-464-9994
81,서울,강남구,공사업,전문,(주)신창이엔지,이선이,6109,"서울특별시 강남구 봉은사로37길 10 3층 302호(논현동, 태광빌딩)",02-508-6507
82,서울,강남구,공사업,전문,주식회사 안강건설,안재홍,6221,"서울특별시 강남구 언주로85길 24 , 9층(역삼동, 피엔엠타워)",02-3664-1234
83,서울,강남구,공사업,전문,주식회사 케이티엠오에스북부,김철기,6352,"서울특별시 강남구 광평로47길 28 , 1, 5층(수서동, 케이티수서빌딩)",02-703-5751
84,서울,강남구,공사업,전문,(주)케이너스,최영두,6253,"서울특별시 강남구 도곡로1길 14 1214호, 1215호(역삼동)",02-3453-8513
85,서울,강남구,공사업,전문,누리종합전기 주식회사,천금진,6211,"서울특별시 강남구 테헤란로 310 ,1212호(역삼동, 두꺼비빌딩)",02-573-8520
86,서울,강남구,공사업,전문,주식회사 더블유에프텍,이영길,6373,"서울특별시 강남구 자곡로 172 , 309호(자곡동, 강남엑슬루프라임)",02-418-0012
87,서울,강남구,공사업,전문,(주)지티일렉콘,고광열,6322,서울특별시 강남구 언주로6길 9  (개포동) ,02-501-8200
88,서울,강남구,공사업,전문,(주)씨엔아이엔지니어링,박광태,6097,"서울특별시 강남구 선릉로 614-1 , 2층(삼성동, 나라빌딩)",02-548-6622
89,서울,강남구,공사업,전문,소방법인도솔 주식회사,박영미,6349,"서울특별시 강남구 광평로 295 , 서관 305호(수서동, 사이룩스)",02-445-0903
90,서울,강남구,공사업,전문,(주)우노건설,"최성열,최재원",6295,"서울특별시 강남구 언주로 118  (도곡동, 우성캐릭터199) 1903호",02-575-7436
91,서울,강남구,공사업,전문,주식회사 한미글로벌이엔씨,박철,6164,"서울특별시 강남구 테헤란로87길 36 , 11층 1101호(삼성동, 도심공항타워)",070-7118-1438
92,서울,강남구,공사업,전문,세아STX엔테크 주식회사,전승민,6188,"서울특별시 강남구 영동대로 325 , 10층 (대치동, 에스-타워)",02-6960-6114
93,서울,강남구,공사업,전문,동남공영(주),박영달,6307,"서울특별시 강남구 개포로 206 , 3층(개포동, 금화빌딩)",02-529-8394
94,서울,강남구,공사업,전문,주식회사 기현테크윈,강신훈,6373,"서울특별시 강남구 자곡로 204-5 , 에이동 722호(자곡동, 강남지웰홈스)",02-572-5133
95,서울,강남구,공사업,전문,주식회사 동신,왕용문,6149,"서울특별시 강남구 선릉로 531 , 2층 202호(역삼동, 동신빌딩)",02-2297-0010
96,서울,강남구,공사업,전문,세일이엔에스(주),김성주,6083,"서울특별시 강남구 영동대로112길 66 , 5층(삼성동, 아메리칸스탠다드빌딩)",02-6906-9900
97,서울,강남구,공사업,전문,케이디에프에스 주식회사,황욱정,6352,"서울특별시 강남구 광평로47길 28 ,3층(수서동)",02-2014-9067
98,서울,강남구,공사업,전문,(주)아시아에너지,박승우,6226,서울특별시 강남구 언주로 331 (역삼동),02-554-4213
99,서울,강남구,공사업,전문,주식회사 은민에스엔디,이승성,6055,"서울특별시 강남구 선릉로145길 6 (논현동, 은민빌딩)",02-6930-2217
100,서울,강남구,공사업,전문,(주)디비월드건설,김경진,6194,"서울특별시 강남구 테헤란로 432 , 33층(대치동, 디비금융센터)",02-3484-1924
101,서울,강남구,공사업,전문,주식회사 파인티엠이,안경법,6050,"서울특별시 강남구 언주로 729 , 10층(논현동, 마스터스빌딩)",02-6471-0131
102,서울,강남구,공사업,전문,유호토건(주),유정호,6126,서울특별시 강남구 테헤란로19길 70 (역삼동),02-552-3015
103,서울,강남구,공사업,전문,주식회사 에스알피,이병호,6343,서울특별시 강남구 일원로9길 36 (일원동),02-445-9940
104,서울,강남구,공사업,전문,주식회사 아이비에스인더스트리,"구상회,구성회",6138,"서울특별시 강남구 언주로 531 (역삼동, 송헌빌딩)",02-2231-8981
105,서울,강남구,공사업,전문,주식회사 아는소방씨엔씨,심규연,6367,"서울특별시 강남구 광평로 280 , 18층 1841호(수서동, 로즈데일빌딩)",02-469-3335
106,서울,강남구,공사업,일반(기계),(주)에코존,오세진,6240,서울특별시 강남구 테헤란로8길 44 (역삼동),02-557-7606
107,서울,강남구,공사업,전문,아전이엔씨(주),"김윤태,이재성",6193,"서울특별시 강남구 선릉로86길 31 , 2122호(대치동, 골드로즈2)",02-555-1421
108,서울,강동구,공사업,전문,(주)다산전기건설공사,백선자,5396,"서울특별시 강동구 성안로 57 , 202호(성내동)",02-431-3195
109,서울,강동구,공사업,전문,삼성물산 주식회사,"오세철,이재언,정해린",5288,서울특별시 강동구 상일로6길 26 (상일동),02-2145-6379
110,서울,강동구,공사업,전문,(주)금정엔지니어링,구본신,5303,"서울특별시 강동구 양재대로122가길 1 , 302호(길동)",02-482-9009
111,서울,강동구,공사업,전문,태흥소방산업(주),최민호,5400,"서울특별시 강동구 성내로14길 42 (성내동,2층201호)",02-476-1119
112,서울,강동구,공사업,전문,동현기술산업(주),김동석,5341,"서울특별시 강동구 성안로 182 , 201호(길동, 노블레스오피스텔)",02-3784-5325
113,서울,강동구,공사업,전문,(주)엠에스소방,"이영선,이훈재",5391,서울특별시 강동구 올림픽로 552  (성내동) 홍익빌딩 302호,02-487-1191
114,서울,강동구,공사업,전문,(주)삼우이엔텍,이경수,5303,서울특별시 강동구 양재대로 1532  (길동) 영남빌딩 4층,02-489-5366
115,서울,강동구,공사업,전문,삼성이앤에이 주식회사,남궁홍,5288,서울특별시 강동구 상일로6길 26 (상일동),02-2053-3041
116,서울,강동구,공사업,전문,청우기전(주),오병호,5380,"서울특별시 강동구 천호대로 1082 , 702호(성내동, 경남빌딩)",02-2135-8333
117,서울,강동구,공사업,전문,(주)탐진이엔지,박경례,5303,서울특별시 강동구 양재대로 1526  (길동) ,02-471-1587
118,서울,강동구,공사업,전문,동림전력(주),함창욱,5325,서울특별시 강동구 천중로16길 5  (천호동) ,02-489-3111
119,서울,강동구,공사업,전문,(주)제이디파워텍,김병갑,5361,"서울특별시 강동구 명일로 163-1 , 2층(둔촌동)",02-423-7653
120,서울,강동구,공사업,전문,(주)티에스엠이앤씨,박원택,5343,서울특별시 강동구 천중로 196  (길동) ,02-484-2220
121,서울,강동구,공사업,전문,(주)창성전기소방,이용식,5408,"서울특별시 강동구 양재대로85길 29 , 501호(성내동)",02-2249-0415
122,서울,강동구,공사업,전문,화신엔지니어링(주),서춘범,5392,서울특별시 강동구 성내로3길 18  (성내동) ,02-486-1306
123,서울,강동구,공사업,전문,보길전력(주),두정호,5342,서울특별시 강동구 양재대로115길 28 (길동) 2충,02-487-1017
124,서울,강동구,공사업,전문,(주)극동아이피엘씨,오종산,5327,서울특별시 강동구 올림픽로78길 11 (천호동),02-483-4701
125,서울,강동구,공사업,전문,(주)청산엔지니어링,이창주,5398,"서울특별시 강동구 성내로6길 34-21 , 201호 (성내동, 재진빌딩)",02-477-4600
126,서울,강동구,공사업,전문,와이이에스이엔지(주),"강동윤,이생용",5343,"서울특별시 강동구 천중로 194 , 2층 에이-1호(길동, 부광빌딩)",02-2238-4644
127,서울,강동구,공사업,전문,현대전설(주),김겸수,5350,서울특별시 강동구 천호대로 1199 (길동),02-471-3121
128,서울,강동구,공사업,전문,신흥설비(주),김복제,5400,"서울특별시 강동구 강동대로 165 , 302호(성내동, 그린빌딩)",02-482-6441
129,서울,강동구,공사업,전문,서화이엔지(주),노혜은,5392,"서울특별시 강동구 성내로3길 16 201호(성내동,은성빌딩)",02-483-2407
130,서울,강동구,공사업,전문,(주)호선이엔씨,정우경,5328,"서울특별시 강동구 구천면로 192 2917호 (천호동, 천호역한강푸르지오시티)",02-478-7030
131,서울,강동구,공사업,전문,(주)성원방재시스템,송경호,5326,"서울특별시 강동구 천중로18길 53 (천호동,3층)",02-485-2975
132,서울,강동구,공사업,전문,(주)다원이엔에스,박홍식,5365,"서울특별시 강동구 진황도로 161 , 202호(둔촌동)",02-416-2212
133,서울,강동구,공사업,전문,(주)아리아,장시진,5237,"서울특별시 강동구 고덕로 101 , 301호(암사동, 대암빌딩)",02-429-5800
134,서울,강동구,공사업,전문,중앙방재서비스(주),황근호,5349,"서울특별시 강동구 명일로 200-34 3층 301호(길동,현대상가)",02-474-1192
135,서울,강동구,공사업,전문,주식회사 주은에프에스,진은수,5394,"서울특별시 강동구 풍성로 136 , 4층 401호(성내동)",02-477-4118
136,서울,강동구,공사업,전문,(주)대원이엔씨,"신종균,신이균",5398,"서울특별시 강동구 성내로6길 20 , 219호(성내동, 청일 베르네)",02-489-3411
137,서울,강동구,공사업,전문,금수티아이(주),이형주,5248,"서울특별시 강동구 천호대로 997 , 502호(천호동, 신라빌딩)",02-470-2082
138,서울,강동구,공사업,전문,주식회사 거성파워텍,김남수,5315,"서울특별시 강동구 양재대로125길 27 ,503호(천호동, 삼유빌딩)",02-407-6046
139,서울,강동구,공사업,일반(전기),해동전설 주식회사,"김재봉,박경애",5402,"서울특별시 강동구 성안로3길 23 , 104호(성내동)",02-477-4858
140,서울,강동구,공사업,전문,주식회사 콤파스이앤씨,지용근,5398,"서울특별시 강동구 성내로6길 34-24 , 302호(성내동,우창빌딩)",02-482-0119
141,서울,강동구,공사업,전문,서울도시철도엔지니어링 주식회사,박병준,5202,"서울특별시 강동구 아리수로87길 32 (강일동,고덕차량기지내 관리동 2층)",02-6311-8735
142,서울,강동구,공사업,전문,(주)새암방재산업,송승주,5252,"서울특별시 강동구 고덕로 56 , 204호(암사동, 상원빌딩)",02-471-1197
143,서울,강동구,공사업,전문,대승일렉트릭 주식회사,한윤근,5242,"서울특별시 강동구 상암로4가길 7 , 1층(암사동)",02-481-2020
144,서울,강동구,공사업,전문,주식회사 신아이엔씨,최필상,5393,"서울특별시 강동구 성내로5길 34 , 3층(성내동)",02-594-1241
145,서울,강동구,공사업,일반(전기),주식회사 현진이씨앤,"신종환,이진찬",5247,"서울특별시 강동구 구천면로 144 , 지2층 비201호(천호동, 현진리버파크)",
146,서울,강동구,공사업,전문,승민F&G,신재우,5203,"서울특별시 강동구 고덕비즈밸리로 26 , 3층 비325호(고덕동, 강동U1센터)",02-562-6652
147,서울,강동구,공사업,전문,청도에너지 주식회사,"송영범,김혜숙",5226,"서울특별시 강동구 동남로85길 30 , 1층 103호(고덕동)",02-878-4508
148,서울,강동구,공사업,전문,현대기술산업 주식회사,이지철,5400,서울특별시 강동구 성내로6길 31 (성내동),02-476-1002
149,서울,강동구,공사업,전문,(주)아주디자인그룹,강명진,5203,"서울특별시 강동구 고덕비즈밸리로6길 10 (고덕동, 아주스마트타워)",02-555-2421
150,서울,강동구,공사업,전문,주식회사 엠케이산업개발,차은경,5390,"서울특별시 강동구 풍성로45길 7-16 , 2층(성내동)",02-356-2535
151,서울,강동구,공사업,전문,신우이엔아이(주),임선옥,5269,"서울특별시 강동구 동남로75길 29 , 9층 907호(명일동, 세종프라자)",02-2633-3653
152,서울,강동구,공사업,전문,주식회사 대운엔지니어링,당의종,5373,"서울특별시 강동구 양재대로103길 12 , 지하1호(성내동)",02-474-0119
153,서울,강동구,공사업,전문,예안엔지니어링 주식회사,윤광현,5394,서울특별시 강동구 성내로13길 57 1층(성내동),02-477-3553
154,서울,강동구,공사업,전문,이룸테크 주식회사,김지수,5326,"서울특별시 강동구 구천면로33길 21 , 2층(천호동)",02-486-1186
155,서울,강동구,공사업,일반(전기),하랑소방,김하영,5401,"서울특별시 강동구 성내로 70 , 1층 1-2호(성내동, 미주상가)",
156,서울,강동구,공사업,전문,주식회사 빌드윗알오에이치,노현정,5398,"서울특별시 강동구 성내로6길 34-24 , 1층(성내동)",
157,서울,강북구,공사업,전문,(주)선광전설,"권순광,서동구",1132,"서울특별시 강북구 도봉로68길 23 , 1층 (미아동, 로움빌딩)",02-989-4584
158,서울,강북구,공사업,전문,(주)이화방재시스템,유재은,1042,"서울특별시 강북구 삼각산로 143-1  (수유동, 벽산아파트) 벽산아파트상가 A동 405호",02-995-6119
159,서울,강북구,공사업,전문,태양전설(주),변형숙,1158,"서울특별시 강북구 솔매로50길 69 , B01호(미아동, 정우빌딩)",02-983-2700
160,서울,강북구,공사업,일반(기계),(주)구성이엔드씨,윤석구,1114,"서울특별시 강북구 도봉로 261 , 502호, 503호, 509호(수유동, 삼호아파트, 수유프라자)",02-402-9550
161,서울,강북구,공사업,전문,(주)건동엔지니어링,유경숙,1170,서울특별시 강북구 솔매로 124-6  (미아동) ,02-745-2056
162,서울,강북구,공사업,전문,보성전기산업(주),강명구,1058,서울특별시 강북구 한천로 1008  (번동) ,02-994-1345
163,서울,강북구,공사업,일반(전기),(주)와이제이일렉트릭,강희승,1055,"서울특별시 강북구 도봉로101길 19-13 , 1층(수유동)",02-6956-7890
164,서울,강북구,공사업,전문,(주)승환전력,김예영,1076,"서울특별시 강북구 삼각산로34길 62 , 2층(수유동)",02-987-1736
165,서울,강북구,공사업,전문,유신이엔지(주),유태열,1062,서울특별시 강북구 도봉로 328 18층 14호(번동),02-998-9003
166,서울,강북구,공사업,전문,유비소방건설(주),임희웅,1162,서울특별시 강북구 도봉로18길 122 1층(미아동),02-984-8119
167,서울,강북구,공사업,전문,주식회사 성민전기통신,홍종애,1031,"서울특별시 강북구 인수봉로 292-1 , 1층(수유동)",070-7759-2800
168,서울,강북구,공사업,전문,주식회사 한성기술개발,서창식,1041,"서울특별시 강북구 삼양로106길 6 , 2층(수유동)",02-902-1038
169,서울,강북구,공사업,전문,주식회사 이강소방아이앤씨,이강준,1164,"서울특별시 강북구 도봉로20가길 40 , 601호(미아동, 준타워)",02-945-1919
170,서울,강북구,공사업,전문,(주)정도기전,이재번,1050,"서울특별시 강북구 노해로35길 19-4 , 301호(수유동, 정도타운)",02-998-4375
171,서울,강북구,공사업,전문,주식회사 대흥엔씨티,박흥순,1114,"서울특별시 강북구 도봉로71가길 11 , 312호, 313호(수유동, 수유대림쇼핑상가)",02-988-2589
172,서울,강북구,공사업,전문,주식회사 시우이엔지,임광혁,1029,"서울특별시 강북구 삼양로 489 , 지하 1층(수유동)",02-907-5544
173,서울,강북구,공사업,일반(전기),주식회사 덕일이엔씨,하경미,1056,"서울특별시 강북구 도봉로 406 , 2층 201호(번동)",031-837-1178
174,서울,강북구,공사업,전문,큰샘방재 주식회사,김인태,1129,"서울특별시 강북구 덕릉로 114-1 , 202호(미아동)",02-6104-1190
175,서울,강북구,공사업,전문,주식회사 진성전력공사,임현택,1045,"서울특별시 강북구 한천로170길 56 , 1층 101호(수유동, 금강에뜨레)",02-928-1352
176,서울,강북구,공사업,전문,주식회사 윤성이지텍,김윤희,1062,"서울특별시 강북구 도봉로 328 , 1815호(번동, 가든타워)",02-3297-3832
177,서울,강북구,공사업,전문,주식회사 늘사랑이엔씨,김명수,1114,"서울특별시 강북구 도봉로73길 41 , 지층 제비01-2호(수유동, 유경와이케이빌)",02-980-9189
178,서울,강서구,공사업,전문,(주)디투엔지니어링,"김낙경,김평래",7794,서울특별시 강서구 마곡중앙8로5길 12 (마곡동),02-330-5009
179,서울,강서구,공사업,전문,프라임방재(주),김회택,7531,서울특별시 강서구 허준로 217 (가양동) 908호,02-2692-7119
180,서울,강서구,공사업,전문,백두전기통신(주),장철,7780,서울특별시 강서구 강서로5나길 133  (화곡동) ,02-869-0700
181,서울,강서구,공사업,전문,이수이 주식회사,권득윤,7504,서울특별시 강서구 개화동로17길 9 (개화동),02-6012-2160
182,서울,강서구,공사업,전문,(주)엘비케이,"변상훈,장진석",7645,서울특별시 강서구 방화대로8길 26  (공항동) 201호,02-3662-8500
183,서울,강서구,공사업,전문,성도프랜트(주),최승욱,7573,"서울특별시 강서구 강서로 466 , 2층 201-1호(등촌동, 우리벤처타운)",02-2633-8866
184,서울,강서구,공사업,전문,(주)금호방재,최일훈,7548,"서울특별시 강서구 화곡로68길 15 , 1004호(등촌동, 아벨테크노)",02-3661-6119
